Productname, Price,Image
Knalpot Import Model E-01 Carbon Fiber Kevlar Silincer Only,875.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
ORIGINAL FIBRE KEVLAR Visor Windshield Kawasaki Ninja z 250 z250 Ori Fiber Kevlar Bukan Lapis Coating,295.000,https://s1.bukalapak.com/img/16815228951/s-194-194/data.png
Kampas Kopling Honda CBR 250RR - Elig Kevlar Material,460.000,https://s1.bukalapak.com/img/67066931361/s-194-194/2019_12_09T04_19_44_07_00.jpg
Setir Carvon n Kulit Kevlar Mazda CX5 2017,6.850.000,https://s1.bukalapak.com/img/60000720081/s-194-194/data.jpeg
Stir Mercedes Bemz AMG C Class Carbon Kevlar Paddleshift Non Air Bag,15.400.000,https://s1.bukalapak.com/img/16520245771/s-194-194/data.jpeg
Gunting Fiber Optik Kevlar Pemotong Kabel Fiber Optik FTTH,46.400,https://s1.bukalapak.com/img/67257205671/s-194-194/rq.jpg
Kampas Kopling Ninja 250 - Elig Kevlar Material,410.000,https://s1.bukalapak.com/img/14114421361/s-194-194/kamkop_ninja_250.jpg
KOMINE Kevlar WJ-734L Jeans Original Celana Touring Pria- Deep Indigo,1.960.000,https://s1.bukalapak.com/img/65981675961/s-194-194/1085134_d10c0cdf_c116_420b_bd41_78a88fe74480_749_749.jpg
KOMINE Kevlar WJ-731S Jeans Original Celana Touring Pria- Deep Indigo,2.800.000,https://s1.bukalapak.com/img/11369173961/s-194-194/1085134_fd3fc61e_ccd9_4794_9d38_f78e31e2b8d8_900_900.jpg
KOMINE Kevlar WJ-732R Jeans Original Celana Touring Pria- Deep Indigo,1.450.000,https://s1.bukalapak.com/img/18845793961/s-194-194/indigo.jpg
Mousepad Gaming Rexus Kevlar T3,29.900,https://s0.bukalapak.com/img/56354188131/s-194-194/data.jpeg
Sarung Jok Kulit Jok Biker Karbon Thailand Kain Kulit Jok Kevlar - Cover Jok Biker,35.000,https://s0.bukalapak.com/img/06503113631/s-194-194/data.png
DAYTONA KAMPAS KOPLING CB150R . VERZA . NEW MEGA PRO 2010 . CS1 . SONIC KEVLAR ORIGINAL,103.200,https://s3.bukalapak.com/img/8124638812/s-194-194/DAYTONA_KAMPAS_KOPLING_TIGER__TIGER_REVO__MEGA_PRO__PRO_NEOT.jpg
Gloves Sarung Tangan Motor Racing Kulit Pria Half Batok Kevlar Protector Murah Berkualitas ,119.000,https://s1.bukalapak.com/img/671962187/s-194-194/Gloves_sarung_tangan_motor_racing_kulit_pria_half_batok_kevl.jpg
DAYTONA KAMPAS KOPLING TIGER . TIGER REVO . MEGA PRO . PRO NEOTECH KEVLAR ORIGINAL,105.000,https://s4.bukalapak.com/img/4488338812/s-194-194/DAYTONA_KAMPAS_KOPLING_GRAND__SUPRA_X__REVO__LEGENDA__SUPRA_.jpg
Jok Motor Vixion Kevlar Lubang,350.000,https://s1.bukalapak.com/img/16844173021/s-194-194/data.png
Cover Body Protector Body Samping Carbon Kevlar Plastik Yamaha XMAX 250,180.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Fullrange Vox Research FR2.5 KV   Vox FR2.5KV   Vox Kevlar Full Range,1.250.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Kampas Kopling Kevlar Sonic 150r CBR 150 CB150R,130.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
RESIN BENING KUALITAS SUPER CLEAR Recomended Untuk Karbon Kevlar Dan Kerajinan Lainnya 1 Liter Plus Katalis,67.500,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
ORIGINAL FIBRE KEVLAR Visor Windshield Kawasaki Ninja z 250 z250 Ori Fiber Kevlar Bukan Lapis Coating,295.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Kulit Kain Jok Carbon Biker Kevlar,33.500,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Baseus TYPE C Data Cable 1M - Kabel Data Type C Baseus Kevlar 1M - Kabel Data Type C Xiaomi Samsung Asus Huawei - TYPE C USB Cable Quick Charge 3.0,39.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Baseus Kevlar LED Micro USB - Kabel Data Charger Baseus LED 1M 3A - MicroUSB Cable Support Xiaomi Samsung Oppo Vivo Realme,39.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Kulit Jok Kevlar Carbon Biker Original Sarung Jok Kabon Biker Original Universal,50.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Spion Yamaha mx Carbon Tiang Twotone Motif Kevlar t,50.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Carbon Kevlar Sepaket Siap Pakai,370.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Sticker Carbon Kevlar Karbon Keflar Keplar,30.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Baseus Kevlar Micro USB Reversible 1M 2.4A - Kabel Data Micro USB Baseus Kevlar - Kabel Data Reversible Micro Usb - Kabel Data Original ,39.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Kain Kulit Jok Biker Kevlar Original Thailand ,33.500,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Winglet Aerox 155 Carbon Kevlar NEMO Best Quality,145.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Baseus Lightning Kevlar Cable - Kabel Data iPhone iPad Baseus Kevlar 1M - Kabel Data iPhone 5 6 7 8 X XS Ipad Pro iPad Mini ,39.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Baseus TYPE C Data Cable 2M QC 3.0 - Kabel Data Type C Baseus Kevlar 2M - Kabel Data Type C Xiaomi Samsung Huawei - TYPE C USB Cable Quick Charge 3.0,45.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Baseus Kevlar Kabel Iphone,52.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Kabel Data Baseus USB Type C Kevlar Cable Fast Charge 3A QC 3 0,68.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Baseus TYPE C Data Cable 2M - Kabel Data Type C Baseus Kevlar 2M - Kabel Data Type C Xiaomi Samsung Asus Huawei - TYPE C USB Cable Quick Charge 3.0,45.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Baseus Kabel Kevlar 2.4A For iPhone X 8 7 6 6s Fast Charging 50 cm,42.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Serat Karbon Kevlar,200.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Side Protector Pelindung Body Samping Carbon Kevlar Yamaha XMAX 250.,180.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Gloves Sarung Tangan Anti Senjata Tajam Anti Robek Kevlar Baja LVL 5,64.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Ban Luar SCHWALBE LUGANO 700x25c Kevlar ,248.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Baseus Cafule Kabel Micro USB Fast Charging Kevlar Cable 2.4A,39.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Kevlar Shout White,70.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Kain Kulit Jok Biker Kevlar Original Thailand ,33.500,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Kampas Kopling Kevlar Satria Fu 150 Daytona,95.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Vanbelt TDR Kevlar Nmax 155 ,270.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
TALI KEVLAR ROPE X8 ASISST HOOK - 5M,13.500,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Spakbor Kolong Forza 250 Carbon Kevlar,650.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Baseus Kevlar Micro USB Reversible 1M 2.4A - Kabel Data Micro USB Baseus Kevlar - Kabel Data Reversible Micro Usb - Kabel Data Original ,39.900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hugger Carbon Forza 250 Spakbor Kolong Kevlar,650.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Knalpot Import Model E-01 Carbon Fiber Kevlar Silincer Only,875.000,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
